Dates (month/day/year): 02/01/1981 through 12/31/2022 ,,,,,,,,,,,,,,,,,,
Location: Latitude  17.3763   Longitude 78.2989 ,,,,,,,,,,,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
YEAR,MO,DY,Min Temp at 2 meters,Max temp at 2 meters,Specific Humidity,Relative Humidity,Precipitation Corrected,Wind Speed at 2 mts,Surface pressure,Wind Direction at 50 mts,Wind Speed at 50 mts RANGE,Wind speed at 50 mts,Wind Direction at 10 mts,Wind Speed at 10 mts Range,Wind Speed at 10 mts,Temp at 2 mts RANGE,Temp at 2 mts,ALLSKY_SFC_SW_DWN
1981,2,1,14.38,32.01,5.07,31.88,0,1.87,94.94,286.5,4.51,4.84,287.31,1.62,2.98,-255.52,22.3,-999
1981,2,2,11.62,31.44,3.72,25.75,0,1.89,94.98,40.25,6.09,5.18,39.38,2.44,3.04,-253.33,20.93,-999
1981,2,3,13.26,31.94,5.13,32.31,0,2.22,95.01,72.19,5.91,5.85,72.19,2.48,3.46,-254.47,21.81,-999
1981,2,4,13.69,32.87,6.04,36.81,0,2.46,94.98,95.94,4.25,6.17,96.69,1.9,3.74,-253.96,22.8,-999
1981,2,5,15.68,32.4,9.03,52.31,0,2.55,95.08,131.12,4.12,6.02,131.25,1.88,3.73,-256.43,23.71,-999
1981,2,6,16.42,33.05,8.36,49.06,0,2.3,95.17,113.81,4.49,5.52,114.5,1.62,3.38,-256.52,24.13,-999
1981,2,7,16.15,33.84,7.32,40.94,0,2.62,94.96,120.06,4.84,6.29,121.12,1.53,3.82,-255.46,24.58,-999
1981,2,8,16.63,35.15,6.65,36.25,0,2.13,94.77,190.12,6.59,4.89,189.69,3.2,3.15,-254.63,25.45,-999
1981,2,9,15.62,34.44,7.02,37.88,0,2.05,94.72,201.62,7.38,4.16,201.69,4.16,2.91,-254.32,25.2,-999
1981,2,10,14.75,32.81,4.15,26.62,0,2.82,94.81,29.06,2.63,6.48,29.12,4.02,4.34,-255.09,22.62,-999
1981,2,11,12.42,33.39,2.08,14.19,0,2.02,94.78,113.12,6.67,5.5,114.44,3.82,3.38,-252.17,21.98,-999
1981,2,12,13.4,34.55,2.01,12.69,0,1.7,94.71,107.5,4.43,4.45,94.5,2.51,2.95,-251.99,23.17,-999
1981,2,13,13.32,34.58,4.58,28.38,0,1.58,94.66,166.88,5.4,3.95,167.62,3.27,2.63,-251.88,23.89,-999
1981,2,14,14.88,34.67,4.15,25.25,0,1.76,94.75,197.19,3.53,4.39,212.19,1.73,2.94,-253.36,24.17,-999
1981,2,15,14.96,35.12,4.76,24.88,0,1.48,94.72,127,5.1,3.89,127.62,1.64,2.51,-252.98,25.02,-999
1981,2,16,16.87,35.23,6.59,34.38,0,2.08,94.82,145.25,6.52,5.37,145.62,2.27,3.14,-254.8,25.83,-999
1981,2,17,17.65,35.54,5.55,27.62,0,2.52,94.88,145.75,4.79,6.05,146.5,2.43,3.69,-255.27,26.09,-999
1981,2,18,17.11,35.49,5,24.25,0,2.41,94.81,148.19,5.37,5.88,149,1.59,3.59,-254.77,26.05,-999
